Zipcode,ZipCodeType,City,State,LocationType
10099,STANDARD,NEW YORK,NY,PRIMARY
10099,STANDARD,POSTAL DATA CENTER,NY,NOT ACCEPTABLE
10101,PO BOX,NEW YORK,NY,PRIMARY
10101,PO BOX,MANHATTAN,NY,NOT ACCEPTABLE
10102,UNIQUE,NEW YORK,NY,PRIMARY
10102,UNIQUE,NY,NY,NOT ACCEPTABLE
10102,UNIQUE,RADIO CITY BRM,NY,NOT ACCEPTABLE
10103,STANDARD,NEW YORK,NY,PRIMARY
10103,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10103,STANDARD,NYC,NY,NOT ACCEPTABLE
10104,STANDARD,NEW YORK,NY,PRIMARY
10104,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10105,STANDARD,NEW YORK,NY,PRIMARY
10105,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10106,STANDARD,NEW YORK,NY,PRIMARY
10106,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10107,STANDARD,NEW YORK,NY,PRIMARY
10107,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10108,PO BOX,NEW YORK,NY,PRIMARY
10108,PO BOX,MANHATTAN,NY,NOT ACCEPTABLE
10109,UNIQUE,NEW YORK,NY,PRIMARY
10109,UNIQUE,TIMES SQUARE BRM,NY,NOT ACCEPTABLE
10110,STANDARD,NEW YORK,NY,PRIMARY
10110,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10110,STANDARD,NYC,NY,NOT ACCEPTABLE
10111,STANDARD,NEW YORK,NY,PRIMARY
10111,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10111,STANDARD,NYC,NY,NOT ACCEPTABLE
10112,STANDARD,NEW YORK,NY,PRIMARY
10112,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10112,STANDARD,NYC,NY,NOT ACCEPTABLE
10113,PO BOX,NEW YORK,NY,PRIMARY
10113,PO BOX,MANHATTAN,NY,NOT ACCEPTABLE
10114,UNIQUE,NEW YORK,NY,PRIMARY
10114,UNIQUE,OLD CHELSEA BRM,NY,NOT ACCEPTABLE
10115,STANDARD,NEW YORK,NY,PRIMARY
10116,PO BOX,NEW YORK,NY,PRIMARY
10117,UNIQUE,NEW YORK,NY,PRIMARY
10117,UNIQUE,GPO BRM,NY,NOT ACCEPTABLE
10118,STANDARD,NEW YORK,NY,PRIMARY
10118,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10118,STANDARD,NYC,NY,NOT ACCEPTABLE
10119,STANDARD,NEW YORK,NY,PRIMARY
10119,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10119,STANDARD,NYC,NY,NOT ACCEPTABLE
10120,STANDARD,NEW YORK,NY,PRIMARY
10120,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10120,STANDARD,NYC,NY,NOT ACCEPTABLE
10121,STANDARD,NEW YORK,NY,PRIMARY
10121,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10121,STANDARD,NYC,NY,NOT ACCEPTABLE
10122,STANDARD,NEW YORK,NY,PRIMARY
10122,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10122,STANDARD,NYC,NY,NOT ACCEPTABLE
10123,STANDARD,NEW YORK,NY,PRIMARY
10123,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10123,STANDARD,NYC,NY,NOT ACCEPTABLE
10124,UNIQUE,NEW YORK,NY,PRIMARY
10124,UNIQUE,ROCKEFELLER CENTER BRM,NY,NOT ACCEPTABLE
10125,UNIQUE,NEW YORK,NY,PRIMARY
10125,UNIQUE,BUSINESS REPLY,NY,NOT ACCEPTABLE
10126,UNIQUE,NEW YORK,NY,PRIMARY
10126,UNIQUE,BUSINESS REPLY,NY,NOT ACCEPTABLE
10126,UNIQUE,FRANKLIN D ROOSEVELT,NY,NOT ACCEPTABLE
10128,STANDARD,NEW YORK,NY,PRIMARY
10128,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10128,STANDARD,NY,NY,NOT ACCEPTABLE
10128,STANDARD,NYC,NY,NOT ACCEPTABLE
10129,PO BOX,NEW YORK,NY,PRIMARY
10130,UNIQUE,NEW YORK,NY,PRIMARY
10130,UNIQUE,BUSINESS REPLY,NY,NOT ACCEPTABLE
10130,UNIQUE,GRACIE,NY,NOT ACCEPTABLE
10131,UNIQUE,NEW YORK,NY,PRIMARY
10131,UNIQUE,BUSINESS REPLY,NY,NOT ACCEPTABLE
10131,UNIQUE,LENOX HILL,NY,NOT ACCEPTABLE
10132,UNIQUE,NEW YORK,NY,PRIMARY
10132,UNIQUE,BUSINESS REPLY,NY,NOT ACCEPTABLE
10133,UNIQUE,NEW YORK,NY,PRIMARY
10133,UNIQUE,BUSINESS REPLY,NY,NOT ACCEPTABLE
10138,UNIQUE,NEW YORK,NY,PRIMARY
10138,UNIQUE,BUSINESS REPLY,NY,NOT ACCEPTABLE
10138,UNIQUE,MIDTOWN,NY,NOT ACCEPTABLE
10149,UNIQUE,MUSCULAR DYSTROPHY,NY,NOT ACCEPTABLE
10149,UNIQUE,NEW YORK,NY,PRIMARY
10150,PO BOX,NEW YORK,NY,PRIMARY
10150,PO BOX,MANHATTAN,NY,NOT ACCEPTABLE
10150,PO BOX,NEW YORK CITY,NY,NOT ACCEPTABLE
10150,PO BOX,NY,NY,NOT ACCEPTABLE
10150,PO BOX,NY CITY,NY,NOT ACCEPTABLE
10150,PO BOX,NYC,NY,NOT ACCEPTABLE
10151,STANDARD,NEW YORK,NY,PRIMARY
10151,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10152,STANDARD,NEW YORK,NY,PRIMARY
10152,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10152,STANDARD,NYC,NY,NOT ACCEPTABLE
10153,STANDARD,NEW YORK,NY,PRIMARY
10153,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10153,STANDARD,NYC,NY,NOT ACCEPTABLE
10154,STANDARD,NEW YORK,NY,PRIMARY
10154,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10155,STANDARD,NEW YORK,NY,PRIMARY
10155,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10155,STANDARD,NYC,NY,NOT ACCEPTABLE
10156,PO BOX,NEW YORK,NY,PRIMARY
10157,UNIQUE,NEW YORK,NY,PRIMARY
10157,UNIQUE,MURRAY HILL BRM,NY,NOT ACCEPTABLE
10158,STANDARD,NEW YORK,NY,PRIMARY
10158,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10158,STANDARD,NYC,NY,NOT ACCEPTABLE
10159,PO BOX,NEW YORK,NY,PRIMARY
10159,PO BOX,MANHATTAN,NY,NOT ACCEPTABLE
10160,UNIQUE,NEW YORK,NY,PRIMARY
10160,UNIQUE,MADISON SQUARE BRM,NY,NOT ACCEPTABLE
10161,STANDARD,NEW YORK,NY,PRIMARY
10162,STANDARD,NEW YORK,NY,PRIMARY
10162,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
